"id","name","subdomain","site","phone","addr1","addr2","city","state","zip","notes","discount_code","discount_rate","created_at","updated_at","species","email","contact","facility"
35,"Memory Gardens Pet Cemetery","","www.memorygardenspets.com/","317-895-9055","9055 Pendleton Pike","","Indianapolis","IN",46236,"",2042,50,"2009-03-22 01:39:44","2009-09-24 16:18:22","pet","","Bernice Schobler",""
37,"Ohio Valley Pet Cemetery","ohiovalleypetcemetery","www.ohiovalleypetcemetery.com/","812-282-3947","2810 Coopers Lane","","Sellersburg","IN",47172,"",2044,50,"2009-03-22 01:47:14","2009-09-24 16:18:38","pet","","David Lee",""
38,"Pet Plantation Funeral Home and Crematory","petplantation","www.petplantationhome.com","478-971-4112","1412 Leverett Rd.","","Warner Robins ","GA",31088,"",2045,50,"2009-03-22 01:49:39","2009-09-24 21:58:54","pet","PGB452@aol.com","Paul Boyer",""
39,"Precious Pets Cemetery","preciouspetscemetery","preciouspetscemetery.com/","405-771-5510","5510 Spencer Rd.","","Spencer ","OK",73084,"",2046,50,"2009-03-22 01:52:30","2009-09-24 18:01:50","pet","","Robert Erdman",""
40,"Rainbow Ridge Pet Cemetery & Crematory","rainbowridgecem","www.rainbowridgecem.com/","845-897-9710","146 Old Route 9","","Fishkill","NY",12524,"",2047,50,"2009-03-22 01:56:04","2009-09-24 17:59:52","pet","info@RainbowRidgeCem.com","Elizabeth Dreeben",""
41,"Sleepy Hollow Pet Cemetery, LLC","sleepyhollowpc","www.sleepyhollowpc.com/","616-538-6050","2755 64th Street SW","","Byron Center","MI",49315,"",2048,50,"2009-03-22 01:58:56","2009-09-24 22:12:07","pet","info@sleepyhollowpc.com","David Fields",""
42,"TenderCare Pet Bereavement Services","","","812-294-4154","209 Ferguson St.","","Henryville","IN",47126,"",2049,50,"2009-03-22 02:02:09","2009-03-22 02:02:09","pet","","Richard D. Pyke",""
43,"Twin Oaks Pet Cemetery & Crematorium","","www.twinoakspetcemetery.com/","863-467-6377","251 NE. 300th St.","","Okeechobee","FL",34972,"",2050,50,"2009-03-22 02:05:01","2009-09-24 15:54:17","pet","","Thomas K. Nicholl",""
44,"All Heavenly Creatures Pet Crematory","allheavenlycreatures","www.allheavenlycreatures.net/","772-878-2315","7664 S Federal Highway 1","","Port St. Lucie","FL","34952-1961 ","",2051,50,"2009-03-22 02:08:11","2009-09-24 15:54:49","pet","","Tammy Nicastro",""
46,"Pet Heaven Memorial Park Inc.","pet-heaven","www.pet-heaven.com/","305-223-6515","10901 West Flagler St.","","Miami","FL",33174,"",2053,50,"2009-03-22 02:15:17","2009-09-24 15:55:08","pet","","Jason Schoendorfer",""
47,"Pet Cremation Services of Richmond, Ltd.","","","804-321-5055","3815 Chamberlayne Ave.","","Richmond","VA",23227,"",2054,50,"2009-03-22 02:17:52","2009-03-22 02:17:52","pet","","Mary L. Pickett",""
48,"Precious Memories Pet Funeral Service, Inc.","preciousmemoriespet","www.preciousmemoriespetfuneralservice.com/","336-886-7387","3903 Hunt Chase Dr.","","Jamestown ","NC",27282,"",2055,50,"2009-03-22 02:21:13","2009-09-24 17:57:03","pet","petfuneralsvc@northstate.net","Jerry Groom",""
49,"Sunset Pet Services, Inc.","sunsetpetservices","www.sunsetpetservices.com/","703-971-4120","5521 Vine St.","","Alexandria","VA",22310,"",2056,50,"2009-03-22 02:25:00","2009-09-24 21:42:39","pet","","Tina Hudson-Corp",""
50,"Pet Heaven Cemetery & Crematory, Inc.","petheavencemetery","petheavencemetery.com/","704-435-8686","3408 Tryon Courthouse Rd.","","Cherryville","NC","28021-0097","",2057,50,"2009-03-22 02:27:20","2009-09-24 17:57:29","pet","phccinc@bellsouth.net","Dawn Mauney",""
51,"Borden Pet Crematory & Memorial Center","bpcmc","www.bpcmc.com/","502-451-1480","4517 Produce Rd.","","Louisville","KY",42018,"",2059,50,"2009-03-22 19:33:33","2009-09-24 16:21:47","pet","","Patty Borden",""
55,"Edward Lawrence Funeral Home","lawrencefh","www.lawrencefuneralhome.com","203-655-6127","2119 Boston Post Road","P.O. Box 3406","Darien","CT",06820,"Edward Lawrence email is Elawrence@lawrencefuneralhome.com",67952,50,"2009-03-30 18:39:31","2010-03-25 20:24:36","human","lawrencefh@sbcglobal.net","Jed ?  or Edward Lawrence",""
56,"IAOPCC / Brenda Drown","iaopcc","www.iaopc.com/pageDisplay.jsp?pageid=12620","800-952-5541","","","","NY","","","","","2009-03-30 18:52:47","2009-09-24 18:00:05","pet","iaopc@aol.com","Brenda Drown",""
57,"Buckleigh Hills","buckleighhills","www.buckleighhills.com/index.htm","919-269-7771","P.O. Box 265","","Zebulon","NC",27597,"Ken Pearce","","","2009-04-02 15:29:41","2009-09-24 17:57:45","pet","info@buckleighhills.com","Erich Dean",""
58,"Carolina Pet Cremations","carolinpet","carolinapetcremation.com/","919-787-4334","2424 Glenwood Ave #102","","Raleigh","NC",27608,"","","","2009-04-02 18:42:15","2009-09-24 17:58:00","pet","","Steve Weaver",""
60,"Eternal Companions Pet Memorial Center ","eternalcompanions","www.eternalcompanions.ca/","866-302-0500","23 ch Henri- Petit","Rigaud, QC JOP IPO","","CA","","","","","2009-04-03 14:17:42","2009-09-24 15:48:15","pet","jocelyne@elternalcompanions.ca","Jocelyne Monette",""
61,"Crevasses Pet Funeral Home","crevassespcs","www.crevassespcs.com/","352-332-5600","6352 N.W. 18th Dr.","","Gainesville","FL",32653,"Christen","","","2009-04-03 16:30:26","2009-09-24 15:55:41","pet","beau@crevassespcs.com","Beau Crevasses",""
62,"Bayview Memorial Pet Care","bayviewmemorial","bayviewmemorial.ca/shop/","519-326-1935","10 Foundry Street","Ontario","Leamington","CA","","","","","2009-04-03 16:55:59","2010-03-03 21:14:09","pet","colleen.hutchins@bayviewmemorial.ca","Colleen Hutchins",""
63,"Heisey Funeral Home","","www.richardheiseyfuneralhome.com/","717 626-2464","216 South Broad Street","","Lititz","PA",17543,"","","","2009-04-05 15:08:06","2009-09-24 18:03:45","human","","Richard Heisey",""
64,"Chase Parkway Memorial","","www.chaseparkwaymemorial.com","203 574-1313","430 Chase Parkway","","Waterbury","CT",06708,"","","","2009-04-05 15:18:08","2009-04-05 15:19:07","human","","Peter P. Albini",""
65,"Kimbrell Stern Funeral Directors","","www.kimbrellstern.com/","229 883-4152","1503 Dawson Road","","Albany","GA",31707,"","","","2009-04-05 15:29:58","2009-09-24 16:03:58","human","","Billy Coleman",""
66,"Curlew Hills Memory Gardens","","www.curlewhills.com/","727 789-2000","1750 Curlew Road","","Palm Harbor","FL",34683,"","","","2009-04-05 15:34:28","2009-09-24 15:55:57","human","","Ann Kilzer",""
67,"McCullough Funeral Home","","www.mcculloughfh.com/","478 953-1478","417 S. Houston Lake Road","","Warner Robins","GA",31088,"","","","2009-04-05 15:43:16","2009-09-24 16:04:18","human","","Mike McCullough",""
68,"Tucker Funeral Home, Inc.","","www.tuckerfuneralhomes.com","270 754-1551","113 North 3rd Street","","Central City","KY",42330,"","","","2009-04-05 15:50:10","2009-04-05 15:50:10","human","ted@tuckerfuneralhomes.com","Ted Tucker",""
69,"Mountcastle Funeral Home, Inc.","","www.mountcastle.net/","703 680-1234","4143 Dale Boulevard","","Dale City","VA",22193,"","","","2009-04-05 15:56:38","2009-09-24 21:42:53","human","","Meg Mountcastle",""
70,"Phillips Funeral Home & Cremation Service","","www.phillipsfuneralhome.com","607 936-9212","17 West Pulteney Street","","Corning","NY",14830,"","","","2009-04-05 16:05:06","2009-04-05 16:05:06","human","dec@phillipsfuneralhome.com","David E. Carpenter",""
73,"A. S. Turner & Sons","","www.asturner.com/index.shtml","404 292-1551","2773 N. Decatur Road","","Decatur","GA",30033,"","","","2009-04-05 16:32:41","2009-09-24 16:05:15","human","","Ernest Mosier",""
74,"Cremation Solutions","","www.cremationsolutions.com","877 365-9474","311 Route 313 West","","Arlington","VT",05250,"08/15/13 Has 2 of our urns showing on his website [ac].","","","2009-04-05 16:37:37","2013-08-15 15:13:17","human","info@cremationsolutions.com","Jeff Staab",""
75,"Caldwell & Cowan Funeral Home","caldwellcowan","www.caldwellandcowan.com/","770 786-7062","1215 Access Road ","","Covington","GA",30014,"Judson Calwell-owner
Jennifer Jarvis-Funeral director
Larry Hubanks-Licensed Funeral Director
Brad Bailey-Funeral Director, Insurance Agent","","","2009-04-05 16:45:29","2010-08-23 20:44:12","human","service@caldwellandcowan.com","Judson Caldwell",""
76,"Morris Nilsen Funeral Chapel","morrisnilsen","http://www.morrisnilsen.com/","612 869-3226","6527 Portland Avenue","","Richfield","MN",55423,"","","","2009-04-05 16:57:03","2010-06-21 16:02:37","human","","Morris Nilsen",""
77,"Forastiere Family Funeral Homes","forastiere","www.forastierefuneralhome.com","413 733-5311","45 Locust Street","","Springfield","MA",01108,"","","","2009-04-05 19:47:48","2010-06-21 15:18:36","human","lforastiere@forastierefuneralhome.com","Loren Forastiere",""
78,"Northside Chapel Funeral Directors and Crematory","northsidechapel","www.northsidechapel.com/","770 645-1414","12050 Crabapple Road","","Roswell","GA",30075,"12/29/11:  Randy Norred passed away due to sudden massive heart attack [ac].  Rex Grizzle called asking for us to familiarize the staff about our product [ac].
02/02/12:  Completed Sales Training presentation [ac].","","","2009-04-05 19:55:14","2012-02-02 20:50:06","human","northsidechapel@bellsouth.net","Rex Grizzle",""
79,"Schrader Funeral Home","schraderfuneral-mo","www.schrader.com","636 227-5511","14960 Manchester Road","","Ballwin","MO",63011,"","","","2009-04-05 20:02:34","2009-04-28 02:46:41","human","bjenkins@schrader.com","Bob Jenkins",""
80,"Pasley Fletcher Funeral Home","","www.pasleyfletcher.com/","706 647-6644","628 North Church Street","P.O. Box 166","Thomaston","GA",30286,"","","","2009-04-05 20:11:36","2009-09-24 16:06:42","human","","Jim Fletcher",""
81,"Vance Brooks Funeral Home","","www.vancebrooksfuneralhome.com/","706 323-8152","4048 Macon Road","P.O. Box 8066","Columbus","GA",31908,"","","","2009-04-05 20:18:05","2009-09-24 16:13:32","human","","Ric Davis",""
82,"Michael A. Mealey & Sons, Inc.","","www.mealeyfuneralhomes.com/","302 652-5913","703 N. Broom Street","P.O. Box 2866","Wilmington","DE",19805,"Folder has email from Robert Andreone at robertandreone47@hotmail.com
","","","2009-04-05 20:30:13","2009-09-24 15:53:09","human","info@mealeyfuneralhomes.com","Lori Mealey",""
85,"Salem Funeral & Cremation Services","salemfuneral","www.salemfh.com","(336) 722-6122","120 South Main Street","","Winston-Salem","NC",27101,"","","","2009-04-05 20:58:38","2012-10-11 02:03:44","human","mvogler@salemfh.com","Mosby Vogler",""
86,"Becker Funeral Home","beckerfamilyfl","www.beckerfamilyfuneral.com","352 394-7121","806 West Minneola Avenue","P.O. Box 120864","Clermont","FL",34712,"","","","2009-04-05 21:15:29","2011-04-05 18:58:11","human","chazgoblue@aol.com","Charles Becker",""
87,"Brewer & Sons Funeral Homes & Cremation Services","brewersons-fl","www.brewerfuneral.com","352 394-8500","1018 West Avenue","","Clermont","FL",34711,"1 full size & 1 keepsake on consignment

Suzi purchased 1 keepsake","","","2009-04-05 21:33:08","2009-04-23 22:33:54","human","info@brewerfuneral.com","Thomas Derryberry",""
90,"Hollomon-Brown Funeral Home & Crematory","hollomonbrownfuneralhameandcrematory","www.hollomon-brown.com/","757 463-0150","3600 Virginia Beach Blvd","","Virginia Beach","VA",23452,"This is the Lynnhaven Chapel & Crematory
Location.  They have multiply FHs

Send info via fax-757-463-8525

Price sheet and updated partner letter sent 10/1","",50,"2009-04-05 22:54:01","2010-10-01 11:21:24","human","info@hollomon-brown.com","Kathy",""
91,"Paws Memorial Service, LLC","pawsmemorial","pawsmemorialservice.com","281 813-8279","601 Pitts Road","","Richmond","TX",77406,"02/11/12: Referral retail online order from Sandra Sakamoto for #6340035 for $480.00 [ac].","","","2009-04-06 19:05:34","2012-02-13 19:30:04","pet","cay-dal@att.net","Catherine Dalrymple",""
92,"Honor Thy Pet Cremation Services","honorthypet","honorthypet.org","813-957-7301","101 American Center Place","","Tampa","FL",33619,"","","","2009-04-07 16:40:21","2009-04-07 16:40:21","pet","honorthypet@tampabay.rr.com","",""
95,"Pets At Peace Pet Funeral Home","petsatpeace","www.fullerpetsatpeace.com","239-417-5400","4424 Tamiami Trail","Building 2","Naples","FL",34112,"","","","2009-04-08 16:13:40","2009-09-24 15:57:12","pet","","Brian E. Laurent ",""
96,"Gateway Pet Memorial","gatewaypet","www.gatewaypetmemorial.com","519-822-8858","170 Southgate Drive ","Guelph,ON N1G 4P5","","CA","","Toronto
1-86 Melford Drive, Toronto ON M1B 2X7

1-800-227-6915","","","2009-04-13 22:28:08","2009-04-13 22:28:08","pet","inquiry@gatewaypetmemorial.com","Scott Hunter",""
97,"Bubbling Well Pet Memorial Park","bubblingwellpet","","707-255-3456","2462 Atlas Peak Rd.","","Napa","CA","","Georgein","","","2009-04-13 23:31:25","2009-04-13 23:31:25","pet","info@bubbling-well.com","Dan Harberts",""
101,"Cal Pet Crematory","calpet-ca","www.calpet.com","","9595 Glenoaks Blvd","P.O. Box 488","Sun Valley","CA",91353,"Pam -
Called 4/15, left message on answering machine
Will call back 4/22 if no one returns the call
No email adddress on web site so nothing sent yet","","","2009-04-15 17:03:14","2009-04-16 19:07:07","pet","","",""
102,"Sea Breeze Pet Cemetery","seabreeze-ca","www.seabreezepetcemetery.com","714 962-7111","19542 Beach Blvd. (Highway 39)","","Huntington Beach","CA",92648,"Pam
Talked to Joyce, email sent to Brenda 4/15 with link; she is on vacation all week
4/23 talked to Brenda, she hasn't had a chance to look at; asked me to call back 4/24 AM","","","2009-04-15 17:36:39","2009-04-23 19:39:24","pet","brenda@seabreezepetcemetery.com","Brenda, owner",""
103,"Only Cremations for Pets","onlycremations-ca","www.onlycremations.com/","949 852-1485","4263 Birch Street Suite B","","Newport Beach","CA",92660,"Pam -
Spoke with Brittany 4/15
Emailed Brett with link
4/22 talked to Brittany again, Brett was busy, she will ask him to call.
I will follow up 4/30 if I don't hear back","","","2009-04-15 17:57:40","2009-09-24 15:49:22","pet","onlycremations@bbvh.com","Brett (owner)",""
104,"Friends Forever Pet Cremation Services","friendsforever-ca","www.friendsforevercremation.com","760 510-1010","120 N. Pacific Street","","San Marcos","CA",92069,"Pam -
Talked to Jacquey 4/15; email with link sent
She replied that she would like a sample urn sent
4/24 - talked to her, explained various options, she will talk to the owner.  She asked that I call in a month
5/29 I will follow up","","","2009-04-15 18:15:28","2009-09-24 15:49:43","pet","friendsforeverpc@sbcglobal.net","Jacquey Stanicek, Manager",""
105,"Peaceful Paws Cremation ","peacefulpawscremation","www.peacefulpawscremation.com","(360) 213-0323","Peaceful Paws Cremation","P.O. Box 61489","Vancouver","WA",98666,"","","","2009-04-15 19:15:16","2012-12-06 14:38:47","pet","info@peacefulpawscremation.com","Vicky Hellen",""
106,"Memorial Gallery Pets","memorialgallerypets-wa","www.memorialgallerypets.com","","2116 N. 122nd Street","","Seattle","WA",98133,"Pam -
Email with link sent 4/16
4/17 - Talked to Arel, Michelle will call me back; Michelle called back and indicated that she already sells our urns.  She does not want our link on her site.","","","2009-04-15 22:36:43","2009-09-24 21:44:30","pet","service@memorialgallerypets.com","",""
107,"Pet Reflections","pet-reflections-ut","www.pet-reflections.com/","801.796.5840","589 West 220 South, Suite 1","","Pleasant Grove","UT",84062,"Pam -
Talked to Scott (different Scott than the owner I think) 4/16; email with link sent
I will follow up on Friday","","","2009-04-15 23:00:33","2009-09-24 21:42:14","pet","info@pet-reflections.com","Scott",""
108,"Family Animal Services","familyanimalservices-or","www.familyanimalservices.org/","503 665-8300","17819 NE Riverside Parkway","","Portland","OR",97230,"Pam -
Talked to Lynn 4/16; email with link sent
Called 4/17, left message for Lynn
I will call back 4/21","","","2009-04-15 23:29:04","2009-09-24 18:02:09","pet","Lynn@familyanimalservices.org","Lynn",""
109,"Memorial Pet Care","memorialpetcare-id","www.memorialpet.com","208 887 7669","654 E. King Street","","Meridian","ID",83642,"Pam -
Talked to Angie 4/16; email with link sent
I will follow up Monday, 4/20","","","2009-04-15 23:45:41","2009-09-24 16:15:19","pet","admin@memorialpet.com","Angie",""
110,"Rest Assured Pet Cremation","restassuredpetcremation-or","www.restassuredpetcremation.com/","541 746-0244","P.O. Box 549","","Springfield","OR",97477,"Pam -
Voice message left 4/16; email with link sent
Left message on 4/20 requesting a call back
I will call on 4/25 if I do not hear back prior to then","","","2009-04-15 23:55:16","2009-09-24 18:02:33","pet","foxglove@epud.net","David & Laura Hagey",""
111,"Pet Haven Cemetery","pethavencemetery","","(206) 878-7292","Pet Haven Cemetery Inc.","23646 Military Road","Kent","WA",98032," Angela Clarke
23646 Military Road South
Kent, WA.98032
917-733-9610
425-204-9919
33 east End Ave. Apartment 1B New York NY.10028



 lclarke_98035@yahoo.com
","","","2009-04-16 01:24:01","2012-12-06 14:36:32","pet","info@pethavencemetery.com","Louis Clark",""
113,"Annie's Healing Hearts","annieshealinghearts-or","www.annieshealinghearts.com","541 408-6925","2675 SW High Desert Drive #2","","Prineville","OR",97754,"Pam -
Talked to Michelle 4/16; email with link sent
I will follow up on Monday, 4/20","","","2009-04-16 18:12:27","2009-09-24 18:02:46","pet","mnelson2294@msn.com","Michelle",""
114,"Delaware Pet Cremations, Inc.","delawarepetcremations","www.theanimalsoul.com","303-656-5737","Delaware Pet Cremations, Inc.","304 Robinson Lane","Manchester","DE",19805,"","","","2009-04-16 18:39:02","2009-04-17 19:31:08","pet","rob@theanimalsoul.com","Rob Mayer",""
116,"Driftwood Pet Memorial Gardens","driftwoodpetmemorialgardens","","941-485-6672","Driftwood Pet Memorial Gardens","800 Laurel Ave.","Laurel","FL",34272,"No wedsite","","","2009-04-16 19:28:25","2009-04-20 20:46:54","pet","driftwoodkennels@aol.com","Fred Figg",""
118,"Our Pals","ourpals-az","www.ourpals.com","602 455-9295","3629 North 40th Avenue","","Phoenix","AZ",85019,"Pam -
4/17 talked to Lisa, she provided Jennifer's name and email address.  Email sent with link
4/21 talked to Jennifer, she liked and will meet with Katherine 4/28 and will call me back
I will follow up on 5/4 if I don't hear back

Katherine Heuerman is the founder and owner","","","2009-04-16 19:39:59","2009-09-24 15:47:23","pet","jennifer@ourpals.com","Jennifer",""
119,"Circle of Life Pet Crematorium","circleoflifepetcrematorium-ca","www.circleoflifepet.com","951 927-8170","43800 Whittier Avenue","","Hemet","CA",92544,"Pam -
4/17 talked to Kelly and sent email with link
4/22 talked to Kelly, she loved them and will talk to owner about stocking.  At her request, I sent email with link instructions to be a non-stocking distributor now
I will call her 4/29 to see about ordering stock","",20,"2009-04-16 19:46:52","2009-09-24 15:50:04","pet","cremations@circleoflifepet.com","Marguerite Johnson",""
121,"Sorrento Valley Pet Cemetery and Crematory","svpc-ca","www.svpc.biz","619 276-3361","10801 Sorrento Valley Road","","San Diego","CA",92121,"Pam -
4/17 Talked to Jennifer, email addresses will not be set up until next Tuesday
4/22 talked to Bett, Manager.  Email nor website up yet, she asked me to snail mail.  I sent brochure, partner program & ltr.
I will follow up 4/30 ","","","2009-04-16 20:00:14","2009-09-24 15:50:21","pet","","Bett",""
123,"San Diego Pet Memorial Park","sandiegopetmemorial-ca","www.sandiegopetmemorialpark.com","858 909-0009","8995 Crestmar Point","","San Diego","CA",92121,"Pam - draft email written, will contact 4/17","","","2009-04-16 20:08:21","2009-09-24 15:50:54","pet","contact@sandiegopetmemorialpark.com","John Sanborn (possibly)",""
